competencia;id_cliente;valor_fatura;tipo_cliente;consumo_energia_kwh;status_fatura;data_vencimento
2021-07;l5eWnnF0aiTVTrYmNaxvSw==;112,49;PF;137;atrasada;03/08/2021
2021-07;XxUJzSWohZpUtzmVGQgmsA==;112,49;PF;137;atrasada;11/08/2021
2021-07;yLQprTazAdV3AfBeKqeRbQ==;112,49;PF;137;paga;17/08/2021
2021-07;5zdXk+Yzi8dm+ho11Rn82w==;112,49;PF;137;paga;13/08/2021
2021-07;qxUSgu+zB79dRUUnPBf4pQ==;112,49;PF;137;paga;06/08/2021
2021-07;vMGbtDBRxmRqyhA+emQYuQ==;112,49;PF;137;atrasada;22/08/2021
2021-07;cnYZeRjUvWNFmdSU3Ko2+w==;112,49;PF;137;paga;27/07/2021
2021-07;5yEf2wtx35YxnIw0WhJvSw==;112,49;PF;137;paga;25/07/2021
2021-07;RLGgEEST0wKTtjmUpkgedQ==;112,49;PF;137;paga;06/08/2021
2021-07;MiADKvNNwRES0l8ziJejyg==;112,49;PF;137;paga;11/08/2021
2021-07;lN75A4YK314NTDasExAyzw==;112,49;PF;137;paga;22/08/2021
2021-08;b77jb6PdEw/AuGtn0xMCGw==;113,31;PF;138;paga;11/09/2021
2021-08;Qf+j5OlrKcU0lXRIYfZ4tQ==;114,95;PJ;140;paga;17/09/2021
2021-08;wckgF0Ifr9/KUHWBbP/Ndw==;115,78;PF;141;paga;11/09/2021
2021-08;HVltQOhjud5PMHcM/5Qrmw==;115,78;PF;141;paga;27/08/2021
2021-07;mjIJhQrgXkCy7rRy7AxJHQ==;116,6;PF;142;atrasada;13/08/2021
2021-08;rulwPA84H1S8+I+GB36zdw==;116,6;PF;142;paga;11/09/2021
2021-08;J1n5zcD4/EZUvpXuMOZcGQ==;116,6;PF;142;paga;22/08/2021
2021-08;T75RwUdKAiSS9m9WAP4HYA==;116,6;PF;142;paga;06/09/2021
2021-08;hHU9zMo7tuHcFPFqpwttjw==;118,24;PF;144;paga;03/09/2021
2021-08;k4fMQkjF4BDIsZcVwq9L0g==;118,24;PF;144;paga;11/09/2021
2021-07;w15EKe4KmrdYnNKScq9kVQ==;119,06;PF;145;paga;17/08/2021
2021-08;GgalMmgHpA+GZ3vo0wCrIg==;119,06;PF;145;paga;18/09/2021
2021-06;rWh2s/k2UHNy/7BuGcyMsQ==;119,88;PF;146;paga;14/07/2021
2021-07;/kEY/v0rP6hwwpsHS/4z0w==;119,88;PF;146;paga;10/09/2021
2021-08;kcqH6iodQT8LWlmURmI5dg==;119,88;PF;146;paga;27/09/2021
2021-08;HKDoob8XWYHkgX5f9GoMrw==;119,88;PF;146;paga;22/08/2021
2021-07;v2orRfMK38qXWupavn7Ehg==;120,7;PF;147;paga;22/08/2021
2021-08;b58Nf5idxgSalgEv0WlO7Q==;120,7;PF;147;paga;11/09/2021
2021-08;DTTS7GkxaBYA4YDa4tByFQ==;120,7;PF;147;paga;06/09/2021
2021-07;XYo5douM4CMw1nrEi4xPpA==;121,52;PF;148;paga;11/08/2021
2021-08;mjIJhQrgXkCy7rRy7AxJHQ==;121,52;PF;148;atrasada;13/09/2021
2021-08;QkMST/pLik6WesQCSJaYfw==;121,52;PF;148;atrasada;11/09/2021
2021-08;lo7dhMYBgeoyK1AastcSPg==;122,34;PF;149;paga;10/09/2021
2021-08;hKm4b48Uu4/Wz2h9xG8ILA==;123,17;PF;150;atrasada;17/09/2021
2021-08;Sp1CJHNIt0vmnWrxIL4A+Q==;123,17;PF;150;paga;06/09/2021
2021-08;rB4WT5NPzbG/cUDP/gLB5w==;123,17;PF;150;paga;27/08/2021
2021-08;YXfq6l5npiorACfSxNtGTQ==;123,99;PF;151;paga;23/08/2021
2021-08;2UAH4sRF5vRvGMUt5IjQWQ==;123,99;PF;151;paga;17/09/2021
2021-08;DV+Np0YplbQpcJJzIy+BNA==;123,99;PF;151;paga;18/09/2021
2021-08;BGOkNhli52eW8kqAT4LkKg==;123,99;PF;151;paga;11/09/2021
2021-08;XQ/fb2VdNj3mcZAj6Iryhw==;124,81;PF;152;paga;06/09/2021
2021-08;flM4Z50LjmJjGb43L2SEpA==;125,63;PF;153;paga;09/09/2021
2021-08;OH9GESv2oBSHT+PBxok+KQ==;125,63;PF;153;paga;17/09/2021
2021-08;JIVoSiIN6prTAA8ryS9B9g==;125,63;PF;153;paga;17/09/2021
